date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:26:49	6658/6658	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Jan%202024%2023:26:47%20GMT	https://readme.com/robots.txt		(from )
06:26:49	172891/172891	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202024%2023:26:48%20GMT	https://readme.com/	C:/My%20Web%20Sites/animation1/readme.com/index.html	(from )
06:26:49	3168/3168	---M--	200	added ('OK')	image/png	etag:W/%22c60-18d3e150b18%22	https://readme.com/static/readme-logo.png	C:/My%20Web%20Sites/animation1/readme.com/static/readme-logo.png	(from https://readme.com/)
06:26:50	61916/61916	---M--	200	added ('OK')	application/font-woff2	etag:W/%22f1dc-18d3e150730%22	https://readme.com/static/fonts/ABCMarfa-Bold.woff2	C:/My%20Web%20Sites/animation1/readme.com/static/fonts/ABCMarfa-Bold.woff2	(from https://readme.com/)
06:26:50	55696/55696	---M--	200	added ('OK')	application/font-woff2	etag:W/%22d990-18d3e150730%22	https://readme.com/static/fonts/ABCMarfa-Regular.woff2	C:/My%20Web%20Sites/animation1/readme.com/static/fonts/ABCMarfa-Regular.woff2	(from https://readme.com/)
06:26:50	113448/113448	---M--	200	added ('OK')	image/png	etag:W/%221bb28-18d3e150b18%22	https://readme.com/static/og_images/index.png	C:/My%20Web%20Sites/animation1/readme.com/static/og_images/index.png	(from https://readme.com/)
06:26:50	14510/14510	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2238ae-18d3e150730%22	https://readme.com/static/favicons/favicon-blue.ico	C:/My%20Web%20Sites/animation1/readme.com/static/favicons/favicon-blue.ico	(from https://readme.com/)
06:26:51	79884/79884	---MCZ	200	added ('OK')	text/css	etag:W/%22ec709ded21f873fe093dd71a0803b8b5%22	https://pro.fontawesome.com/releases/v5.8.1/css/all.css	C:/My%20Web%20Sites/animation1/pro.fontawesome.com/releases/v5.8.1/css/all.css	(from https://readme.com/)
06:26:51	40226/40226	---MCZ	200	added ('OK')	text/css	etag:W/%228fd693258f12e8ec22bb6fff270543af%22	https://cdn.icomoon.io/80103/ReadMeIcons/style.css?9w01ll	C:/My%20Web%20Sites/animation1/cdn.icomoon.io/80103/ReadMeIcons/style8bc5.css	(from https://readme.com/)
06:26:51	70212/70212	---MCZ	200	added ('OK')	text/css	etag:W/%2211244-18cff61c230%22	https://readme.com/_next/static/css/19749d411fa484aa.css	C:/My%20Web%20Sites/animation1/readme.com/_next/static/css/19749d411fa484aa.css	(from https://readme.com/)
06:26:51	20807/20807	---MCZ	200	added ('OK')	text/css	etag:W/%225147-18cff61c230%22	https://readme.com/_next/static/css/5c74fa0a1fcf7ce1.css	C:/My%20Web%20Sites/animation1/readme.com/_next/static/css/5c74fa0a1fcf7ce1.css	(from https://readme.com/)
06:26:52	38752/38752	---MCZ	200	added ('OK')	text/css	etag:W/%229760-18cff61c230%22	https://readme.com/_next/static/css/fc32005e6d26629b.css	C:/My%20Web%20Sites/animation1/readme.com/_next/static/css/fc32005e6d26629b.css	(from https://readme.com/)
06:26:53	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%2216544-18d3e169d70%22	https://readme.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/My%20Web%20Sites/animation1/readme.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://readme.com/)
06:26:53	4481/4481	---MCZ	200	added ('OK')	application/javascript	etag:W/%221181-18cf4ca5530%22	https://readme.com/_next/static/chunks/webpack-cefa68762a1ab3e9.js	C:/My%20Web%20Sites/animation1/readme.com/_next/static/chunks/webpack-cefa68762a1ab3e9.js	(from https://readme.com/)
06:26:53	141081/141081	---MCZ	200	added ('OK')	application/javascript	etag:W/%2222719-18cff61c230%22	https://readme.com/_next/static/chunks/framework-847cdbe141f8ae13.js	C:/My%20Web%20Sites/animation1/readme.com/_next/static/chunks/framework-847cdbe141f8ae13.js	(from https://readme.com/)
